time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,READ R�connection,
1414858906436,0.00,0.00,-50.20,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.01,0.88,2.97,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858906565,0.00,0.00,-50.35,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.02,0.88,2.91,0,60,0,0,750.00,System,1.36,0.00,0.5,180.00,estabilished,
1414858906716,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.17,1.09,2.92,0,6,0,0,750.00,System,0.13,0.00,0.5,180.00,estabilished,
1414858906864,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.18,1.06,2.94,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858907471,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.19,1.00,2.93,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858907622,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.21,0.99,2.94,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858908074,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.24,0.95,2.95,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858908376,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.25,0.91,2.96,0,7,0,0,750.00,System,0.16,0.00,0.5,180.00,estabilished,
1414858908528,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.26,0.89,2.97,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858908831,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.29,0.89,3.00,0,4,0,0,750.00,System,0.09,0.00,0.5,180.00,estabilished,
1414858909130,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.30,0.84,2.99,0,5,0,0,750.00,System,0.12,0.00,0.5,180.00,estabilished,
1414858909282,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.32,0.82,2.98,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858909435,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.33,0.81,2.97,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858909584,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.33,0.80,2.98,0,6,0,0,750.00,System,0.14,0.00,0.5,180.00,estabilished,
1414858909733,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.35,0.80,2.99,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858909885,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.32,0.79,2.98,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
1414858910494,0.00,0.00,-100.00,7280.00,260.00,48.00,19700.00,12.75,551.00,5540.00,1330.00,23.00,1.36,0.80,2.99,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,
