time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,READ Read_Trigg�connection,READ FirmwareVeconnection,
1414859111438,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.12,0.85,5.20,0,5,0,0,750.00,System,0.25,0.00,0.5,180.00,estabilished,estabilished,
1414859111515,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.12,0.85,5.18,0,5,0,0,750.00,System,0.25,0.00,0.5,180.00,estabilished,estabilished,
1414859111609,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.14,0.83,5.17,0,6,0,0,750.00,System,0.29,0.00,0.5,180.00,estabilished,estabilished,
1414859111760,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.15,0.83,5.14,0,5,0,0,750.00,System,0.24,0.00,0.5,180.00,estabilished,estabilished,
1414859111915,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.16,0.83,5.12,0,5,0,0,750.00,System,0.24,0.00,0.5,180.00,estabilished,estabilished,
1414859112219,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.16,0.83,5.11,0,5,0,0,750.00,System,0.24,0.00,0.5,180.00,estabilished,estabilished,
1414859112371,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.17,0.84,5.10,0,5,0,0,750.00,System,0.24,0.00,0.5,180.00,estabilished,estabilished,
1414859112518,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.19,0.83,5.08,0,5,0,0,750.00,System,0.24,0.00,0.5,180.00,estabilished,estabilished,
1414859112674,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.19,0.82,5.06,0,6,0,0,750.00,System,0.28,0.00,0.5,180.00,estabilished,estabilished,
1414859112826,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.20,0.82,5.05,0,5,0,0,750.00,System,0.24,0.00,0.5,180.00,estabilished,estabilished,
1414859112980,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.20,0.82,5.03,0,5,0,0,750.00,System,0.23,0.00,0.5,180.00,estabilished,estabilished,
1414859113129,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.20,0.84,4.99,0,5,0,0,750.00,System,0.23,0.00,0.5,180.00,estabilished,estabilished,
1414859113287,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.21,0.83,4.96,0,5,0,0,750.00,System,0.23,0.00,0.5,180.00,estabilished,estabilished,
1414859113440,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.22,0.83,4.95,0,6,0,0,750.00,System,0.27,0.00,0.5,180.00,estabilished,estabilished,
1414859113594,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.22,0.83,4.93,0,5,0,0,750.00,System,0.23,0.00,0.5,180.00,estabilished,estabilished,
1414859113747,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.24,0.84,4.91,0,5,0,0,750.00,System,0.23,0.00,0.5,180.00,estabilished,estabilished,
1414859113902,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.25,0.85,4.89,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859114054,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.26,0.86,4.88,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859114353,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.27,0.84,4.87,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859114511,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.28,0.84,4.86,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859114964,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.32,0.83,4.85,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859115115,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.33,0.84,4.84,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859115266,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.35,0.83,4.83,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859115569,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.37,0.84,4.84,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859116301,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,5540.00,0.00,23.00,0.38,0.81,4.82,0,6,0,0,750.00,System,0.26,0.00,0.5,180.00,estabilished,estabilished,
1414859118550,0.00,0.00,-0.11,0.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.38,0.81,4.81,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859120085,0.00,0.00,-0.11,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.39,0.81,4.79,0,6,0,0,750.00,System,0.26,0.00,0.5,180.00,estabilished,estabilished,
1414859120092,0.00,0.00,-0.11,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.39,0.81,4.75,0,73,0,0,750.00,System,3.19,0.00,0.5,180.00,estabilished,estabilished,
1414859120101,0.00,0.00,-4.98,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.36,0.82,4.76,0,5,0,0,750.00,System,0.21,0.00,0.5,180.00,estabilished,estabilished,
1414859120106,0.00,0.00,-4.97,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.38,0.84,4.77,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859120112,0.00,0.00,-5.01,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.38,0.82,4.78,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859120118,0.00,0.00,-5.03,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.37,0.81,4.79,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859120133,0.00,0.00,-5.04,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.38,0.83,4.77,0,6,0,0,750.00,System,0.26,0.00,0.5,180.00,estabilished,estabilished,
1414859120137,0.00,0.00,-5.01,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.38,0.83,4.78,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859120149,0.00,0.00,-5.03,165.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.40,0.83,4.79,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859123615,0.00,0.00,-5.06,4.00,0.00,0.00,1970.00,900.00,551.00,0.00,0.00,23.00,0.50,0.81,4.81,0,5,0,0,750.00,System,0.22,0.00,0.5,180.00,estabilished,estabilished,
1414859143021,0.00,0.00,-5.06,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.50,0.80,0.39,0,60,0,0,750.00,System,2.61,connection,0.5,180.00,estabilished,estabilished,
1414859143162,0.00,0.00,0.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.19,-0.39,0.73,0,0,0,0,750.00,System,0.00,0.00,0.5,180.00,estabilished,estabilished,
1414859143311,0.00,0.00,6.97,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.19,-0.31,1.06,0,5,0,0,750.00,System,0.03,0.00,0.5,180.00,estabilished,estabilished,
1414859143464,0.00,0.00,4.92,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.20,-0.22,1.37,0,5,0,0,750.00,System,0.04,0.00,0.5,180.00,estabilished,estabilished,
1414859143615,0.00,0.00,2.98,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.20,-0.13,1.65,0,5,0,0,750.00,System,0.05,0.00,0.5,180.00,estabilished,estabilished,
1414859143767,0.00,0.00,0.86,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.19,-0.06,1.92,0,6,0,0,750.00,System,0.07,0.00,0.5,180.00,estabilished,estabilished,
1414859143918,0.00,0.00,-0.89,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.18,0.01,2.19,0,5,0,0,750.00,System,0.07,0.00,0.5,180.00,estabilished,estabilished,
1414859144067,0.00,0.00,-2.95,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.18,0.09,2.44,0,5,0,0,750.00,System,0.08,0.00,0.5,180.00,estabilished,estabilished,
1414859144217,0.00,0.00,-4.93,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.16,0.14,2.68,0,5,0,0,750.00,System,0.09,0.00,0.5,180.00,estabilished,estabilished,
1414859144371,0.00,0.00,-6.72,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.15,0.21,2.89,0,5,0,0,750.00,System,0.10,0.00,0.5,180.00,estabilished,estabilished,
1414859144520,0.00,0.00,-8.52,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.13,0.27,3.10,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,estabilished,estabilished,
1414859144676,0.00,0.00,-10.29,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.12,0.32,3.31,0,5,0,0,750.00,System,0.12,0.00,0.5,180.00,estabilished,estabilished,
1414859144819,0.00,0.00,-12.08,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.10,0.40,3.48,0,5,0,0,750.00,System,0.13,0.00,0.5,180.00,estabilished,estabilished,
1414859144971,0.00,0.00,-13.73,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.09,0.44,3.65,0,5,0,0,750.00,System,0.14,0.00,0.5,180.00,estabilished,estabilished,
1414859145123,0.00,0.00,-15.28,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.08,0.49,3.82,0,5,0,0,750.00,System,0.15,0.00,0.5,180.00,estabilished,estabilished,
1414859145274,0.00,0.00,-17.12,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.08,0.53,3.98,0,5,0,0,750.00,System,0.16,0.00,0.5,180.00,estabilished,estabilished,
1414859145425,0.00,0.00,-18.63,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,-0.08,0.57,4.12,0,5,0,0,750.00,System,0.17,0.00,0.5,180.00,estabilished,estabilished,
