time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_APIDKd�p,READ Read_APIDKd�connection,READ Read_calibratedZeroAngle,
1414863087107,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,4.98,1.15,-3.49,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863087155,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,4.98,1.15,-3.50,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863087321,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,5.00,1.16,-3.52,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863087446,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,5.03,1.16,-3.54,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863087602,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,5.01,1.16,-3.55,0,5,0,0,750.00,System,0.02,0.00,0.5,5540.00,estabilished,180.00,
1414863087909,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,5.03,1.17,-3.54,0,5,0,0,750.00,System,0.02,0.00,0.5,5540.00,estabilished,180.00,
1414863088061,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,5.03,1.18,-3.55,0,5,0,0,750.00,System,0.02,0.00,0.5,5540.00,estabilished,180.00,
1414863178635,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,8.53,1.02,-3.48,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863178784,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,8.53,1.02,-3.50,0,6,0,0,750.00,System,0.02,0.00,0.5,5540.00,estabilished,180.00,
1414863178936,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,8.55,1.03,-3.48,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863179091,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,8.58,1.07,-3.49,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863179242,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,8.60,1.06,-3.47,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863238733,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,10.17,1.18,-3.50,0,6,0,0,750.00,System,0.02,0.00,0.5,5540.00,estabilished,180.00,
1414863238881,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,10.17,1.18,-3.46,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863239033,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,10.18,1.20,-3.42,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863239189,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,10.20,1.18,-3.41,0,5,0,0,750.00,System,0.01,0.00,0.5,5540.00,estabilished,180.00,
1414863239492,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,10.22,1.16,-3.43,0,6,0,0,750.00,System,0.02,0.00,0.5,5540.00,estabilished,180.00,
