time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_APIDAggK�connection,READ Read_calibratedZeroAngle,
1414863311692,0.00,0.00,41.89,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.89,0.96,-3.07,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863311695,0.00,0.00,41.89,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.89,0.96,-3.15,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863311804,0.00,0.00,42.98,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.89,1.00,-3.25,0,7,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863311956,0.00,0.00,44.22,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.91,1.04,-3.34,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863312107,0.00,0.00,45.52,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.91,1.09,-3.43,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863312263,0.00,0.00,46.58,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.91,1.10,-3.48,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863377457,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,2.45,1.14,-3.44,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863377510,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,2.45,1.14,-3.42,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863377817,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,2.48,1.12,-3.46,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863377968,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,2.50,1.13,-3.45,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863378124,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,2.51,1.17,-3.44,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863378276,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,2.52,1.18,-3.43,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863447651,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,4.47,1.06,-3.46,0,5,0,0,750.00,System,0.01,0.00,0.5,estabilished,180.00,
1414863447958,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,4.48,1.08,-3.47,0,7,0,0,750.00,System,0.02,0.00,0.5,estabilished,180.00,
