time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_calibratedZeroAngle,
1414274499558,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.21,1.19,-4.29,False,19,0,0,750.00,System,0.07,180.00,
1414274499866,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.24,1.19,-4.30,False,6,0,0,750.00,System,0.02,180.00,
1414274500335,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.27,1.20,-4.28,False,6,0,0,750.00,System,0.02,180.00,
1414274500515,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.27,1.20,-4.26,False,5,0,0,750.00,System,0.05,180.00,
1414274501318,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.32,1.19,-4.28,False,7,0,0,750.00,System,0.03,180.00,
1414274501466,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.32,1.20,-4.27,False,5,0,0,750.00,System,0.05,180.00,
1414274501626,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.34,1.20,-4.26,False,5,0,0,750.00,System,0.05,180.00,
1414274502274,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.38,1.22,-4.27,False,7,0,0,750.00,System,0.03,180.00,
1414274502435,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.39,1.21,-4.26,False,6,0,0,750.00,System,0.02,180.00,
1414274502610,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.39,1.22,-4.27,False,5,0,0,750.00,System,0.02,180.00,
1414274502928,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.43,1.24,-4.26,False,5,0,0,750.00,System,0.05,180.00,
1414274503095,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.45,1.22,-4.28,False,5,0,0,750.00,System,0.05,180.00,
1414274503399,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.47,1.20,-4.27,False,5,0,0,750.00,System,0.05,180.00,
1414274503730,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.49,1.22,-4.28,False,7,0,0,750.00,System,0.06,180.00,
1414274505003,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.60,1.16,-4.27,False,5,0,0,750.00,System,0.02,180.00,
1414274505168,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.62,1.15,-4.28,False,5,0,0,750.00,System,0.05,180.00,
1414274505336,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.63,1.16,-4.26,False,6,0,0,750.00,System,0.02,180.00,
1414274505503,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.63,1.18,-4.27,False,5,0,0,750.00,System,0.05,180.00,
1414274505839,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.65,1.18,-4.29,False,5,0,0,750.00,System,0.02,180.00,
1414274506004,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.67,1.20,-4.28,False,5,0,0,750.00,System,0.05,180.00,
1414274506172,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.68,1.20,-4.27,False,5,0,0,750.00,System,0.05,180.00,
1414274506487,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.71,1.20,-4.28,False,6,0,0,750.00,System,0.02,180.00,
1414274506659,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.73,1.20,-4.27,False,5,0,0,750.00,System,0.05,180.00,
1414274507130,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.78,1.18,-4.26,False,6,0,0,750.00,System,0.05,180.00,
1414274507764,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,2.82,1.19,-4.27,False,5,0,0,750.00,System,0.05,180.00,
