time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ Read_calibratedZeroAngle,
1414434481652,,,-18.55,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-7.21,0.65,1.43,False,5,0,0,750.00,System,0.17,0.35,180.00,
1414434481769,,,-18.55,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-7.21,0.65,1.40,False,5,0,0,750.00,System,0.03,0.03,180.00,
1414434481915,,,-14.86,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-6.75,0.69,0.75,False,7,0,0,750.00,System,0.10,0.10,180.00,
1414434482075,,,-3.17,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-6.00,0.51,-0.57,False,6,0,0,750.00,System,0.11,0.22,180.00,
1414434482237,,,5.95,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-5.20,0.59,1.09,False,6,0,0,750.00,System,0.00,0.00,180.00,
1414434482390,,,-0.45,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.34,0.51,2.57,False,5,0,0,750.00,System,0.08,0.04,180.00,
1414434482551,,,-32.24,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.45,0.40,-0.73,False,6,0,0,750.00,System,0.34,1.02,180.00,
1414434482710,,,-19.90,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.82,0.44,-2.84,False,6,0,0,750.00,System,0.12,0.36,180.00,
1414434482865,,,14.15,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.69,0.84,-1.05,False,5,0,0,750.00,System,0.00,0.00,180.00,
1414434483026,,,32.15,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.29,0.87,1.09,False,7,0,0,750.00,System,0.00,0.00,180.00,
1414434483181,,,7.25,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.33,0.96,1.78,False,5,0,0,750.00,System,0.02,0.02,180.00,
1414434483337,,,-12.55,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-5.22,0.99,-0.09,False,5,0,0,750.00,System,0.14,0.29,180.00,
1414434483492,,,2.97,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-5.18,0.94,0.54,False,7,0,0,750.00,System,0.03,0.01,180.00,
