time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,READ RAD,
1414695731454,1.00,0.00,-1.70,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77,1.19,0.25,False,6,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695731478,1.00,0.00,-1.70,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77,1.19,0.23,False,6,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695731717,-1.00,0.00,-1.59,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.78,1.21,0.22,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695731896,1.00,0.00,-1.47,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,1.19,0.24,False,1,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695732373,-1.00,0.00,-1.64,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.87,1.18,0.26,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695732529,0.00,0.00,-1.78,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,1.17,0.28,False,1,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695732681,1.00,0.00,-1.90,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,1.16,0.27,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695732851,-1.00,0.00,-1.89,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.90,1.18,0.29,False,7,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695733006,1.00,0.00,-1.98,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.90,1.15,0.26,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695733165,-1.00,0.00,-1.78,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.91,1.13,0.28,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695733692,1.00,0.00,-1.94,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.95,1.16,0.29,False,1,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695733839,1.00,0.00,-2.02,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.98,1.18,0.30,False,1,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695733977,-1.00,0.00,-2.07,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.98,1.17,0.33,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695734262,-1.00,0.00,-2.27,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.98,1.17,0.35,False,6,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695734398,1.00,0.00,-2.45,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.99,1.19,0.33,False,1,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695734677,1.00,0.00,-2.27,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.21,0.31,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695734809,1.00,0.00,-2.14,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.99,1.19,0.32,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695734948,1.00,0.00,-2.21,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.03,1.17,0.33,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695735048,1.00,0.00,-2.26,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,1.19,0.34,False,6,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695735194,-1.00,0.00,-2.33,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,1.20,0.33,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695735338,1.00,0.00,-2.26,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.07,1.22,0.32,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695735470,-1.00,0.00,-2.23,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.07,1.20,0.31,False,6,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695735753,0.00,0.00,-2.13,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.11,1.19,0.43,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695735890,-1.00,0.00,-2.65,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.73,1.45,0.75,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695736036,-1.00,0.00,-4.81,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.08,1.07,4.31,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695736175,-1.00,0.00,-29.62,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.97,1.28,8.49,False,5,0,0,750.00,System,0.09,0.03,0.5,0.00,Read_SPIDKp,
1414695736311,-1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.93,1.19,10.40,False,6,0,0,750.00,System,0.42,0.14,0.5,0.00,Read_SPIDKp,
1414695736452,1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.92,1.11,10.70,False,5,0,0,750.00,System,0.54,0.22,0.5,0.00,Read_SPIDKp,
1414695736592,-1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.62,1.11,10.65,False,5,0,0,750.00,System,0.57,0.26,0.5,0.00,Read_SPIDKp,
1414695736701,1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.31,1.09,6.75,False,5,0,0,750.00,System,0.57,0.28,0.5,0.00,Read_SPIDKp,
1414695736846,-1.00,0.00,-51.79,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.32,1.15,3.31,False,5,0,0,750.00,System,0.24,0.18,0.5,0.00,Read_SPIDKp,
1414695736981,1.00,0.00,-25.38,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.35,1.20,0.52,False,5,0,0,750.00,System,0.06,0.09,0.5,0.00,Read_SPIDKp,
1414695737127,0.00,0.00,-5.38,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67,1.22,0.40,False,1,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695737274,1.00,0.00,-2.93,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.86,1.12,0.35,False,5,0,0,750.00,System,0.00,0.01,0.5,0.00,Read_SPIDKp,
1414695737410,-1.00,0.00,-2.41,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.58,1.12,0.39,False,6,0,0,750.00,System,0.00,0.01,0.5,0.00,Read_SPIDKp,
1414695737557,0.00,0.00,-2.70,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,1.14,0.40,False,1,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695737700,1.00,0.00,-2.77,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.69,1.14,0.38,False,0,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695737839,1.00,0.00,-2.64,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.71,1.14,0.39,False,0,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695738110,1.00,0.00,-2.71,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.78,1.16,0.37,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695738250,-1.00,0.00,-2.57,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.77,1.14,2.87,False,5,0,0,750.00,System,0.00,0.00,0.5,0.00,Read_SPIDKp,
1414695738354,1.00,0.00,-19.54,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.13,1.16,7.68,False,5,0,0,750.00,System,0.04,0.01,0.5,0.00,Read_SPIDKp,
1414695738507,-1.00,1.00,-52.54,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.16,1.01,11.80,False,5,0,0,750.00,System,0.28,0.18,0.5,0.00,Read_SPIDKp,
1414695738649,-1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.12,0.94,14.05,False,6,0,0,750.00,System,0.82,0.29,0.5,0.00,Read_SPIDKp,
1414695738786,1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.14,0.94,14.88,False,6,0,0,750.00,System,1.17,0.47,0.5,0.00,Read_SPIDKp,
1414695738937,-1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.14,0.92,14.66,False,6,0,0,750.00,System,1.32,0.59,0.5,0.00,Read_SPIDKp,
1414695739078,1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.13,0.90,14.61,False,5,0,0,750.00,System,1.08,0.56,0.5,0.00,Read_SPIDKp,
1414695739225,-1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.15,0.87,14.48,False,5,0,0,750.00,System,1.07,0.54,0.5,0.00,Read_SPIDKp,
1414695739369,1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.26,0.89,11.60,False,5,0,0,750.00,System,1.05,0.53,0.5,0.00,Read_SPIDKp,
1414695739508,-1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.30,0.93,8.43,False,5,0,0,750.00,System,0.69,0.42,0.5,0.00,Read_SPIDKp,
1414695739642,1.00,0.00,0.11,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.46,1.01,5.38,False,6,0,0,750.00,System,0.44,0.29,0.5,0.00,Read_SPIDKp,
1414695739786,-1.00,0.00,-40.89,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.47,1.05,4.27,False,5,0,0,750.00,System,0.15,0.16,0.5,0.00,Read_SPIDKp,
