time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414696029500,1.00,0.00,26.92,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.74,1.27,-0.66,False,6,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696029610,1.00,0.00,26.92,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.74,1.27,-0.63,False,6,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696029789,1.00,0.00,22.04,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.75,1.27,-0.64,False,1,0,0,750.00,System,0.00,0.00,0.5,180.00,
1414696029916,1.00,0.00,27.16,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.75,1.23,-0.60,False,6,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696030166,1.00,0.00,22.63,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.77,1.30,-0.57,False,5,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696030306,1.00,0.00,22.41,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.76,1.27,-0.58,False,6,0,0,750.00,System,0.02,0.01,0.5,180.00,
1414696030562,1.00,0.00,23.17,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.77,1.30,-0.60,False,5,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696030685,1.00,0.00,23.57,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.78,1.33,-0.61,False,5,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696030811,1.00,0.00,23.69,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.82,1.30,-0.66,False,5,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696030945,-1.00,0.00,30.00,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.86,1.28,-0.65,False,6,0,0,750.00,System,0.00,0.00,0.5,180.00,
1414696031199,-1.00,0.00,30.25,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.87,1.26,-0.63,False,5,0,0,750.00,System,0.00,0.00,0.5,180.00,
1414696031330,-1.00,0.00,25.49,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.90,1.25,-0.62,False,5,0,0,750.00,System,0.00,0.00,0.5,180.00,
1414696031593,1.00,0.00,25.03,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.93,1.25,-0.61,False,6,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696031722,1.00,0.00,25.02,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.94,1.23,-0.60,False,6,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696031871,1.00,0.00,25.27,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.95,1.23,-0.59,False,5,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696032017,-1.00,0.00,25.00,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.95,1.24,-0.61,False,5,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696032163,-1.00,0.00,31.68,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.95,1.23,-0.63,False,25,0,0,750.00,System,0.02,0.01,0.5,180.00,
1414696032315,-1.00,0.00,32.26,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.96,1.23,-0.62,False,23,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696032472,-1.00,0.00,31.23,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.97,1.24,-0.65,False,23,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696032624,-1.00,0.00,32.56,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.97,1.22,-0.67,False,24,0,0,750.00,System,0.01,0.01,0.5,180.00,
1414696032937,1.00,0.00,32.32,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.01,1.21,-0.33,False,1,0,0,750.00,System,0.00,0.00,0.5,180.00,
1414696033104,-1.00,0.00,31.40,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.85,1.26,-0.29,False,121,0,0,750.00,System,0.09,0.03,0.5,180.00,
1414696033255,1.00,0.00,15.12,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.92,1.31,-0.35,False,172,0,0,750.00,System,0.59,0.19,0.5,180.00,
1414696033412,-1.00,0.00,30.07,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.90,1.34,-0.38,False,6,0,0,750.00,System,0.01,0.08,0.5,180.00,
1414696033566,1.00,0.00,31.42,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.87,1.25,-0.56,False,6,0,0,750.00,System,0.01,0.03,0.5,180.00,
1414696033715,-1.00,0.00,29.91,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.09,1.25,1.89,False,123,0,0,750.00,System,0.17,0.06,0.5,180.00,
1414696033870,1.00,0.00,-83.28,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.11,1.22,4.09,False,5,0,0,750.00,System,0.09,0.05,0.5,180.00,
1414696034021,1.00,0.00,-50.13,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.55,1.19,4.07,False,5,0,0,750.00,System,0.19,0.08,0.5,180.00,
1414696034183,-1.00,1.00,-8.34,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.50,1.21,2.98,False,121,0,0,750.00,System,3.64,2.31,0.5,180.00,
1414696034326,1.00,0.00,29.46,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.44,1.27,2.41,False,5,0,0,750.00,System,0.13,0.48,0.5,180.00,
1414696034476,1.00,0.00,16.92,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.23,1.33,2.25,False,5,0,0,750.00,System,0.10,0.21,0.5,180.00,
1414696034634,1.00,0.00,11.42,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.33,1.30,2.86,False,6,0,0,750.00,System,0.11,0.12,0.5,180.00,
